"counts_201","counts_301","counts_401","counts_501","counts_601","counts_701","counts_801","counts_901","counts_1301","counts_1401","counts_1501",""
"KCNJ12",1.29607151605871,0,0.986055227302802,0,0,1.01784495046742,0.919953634382081,0,0,0,3.04665757348513,0.705181029701562
"KCNH2",15.5528581927045,5.07415851077924,9.86055227302802,13.0603642861017,8.16558680244099,5.08922475233709,5.51972180629249,1.60847508056934,12.6727768821406,14.2064251995035,18.2799454409108,11.3290991488829
"KCNQ1",46.6585745781136,50.7415851077924,41.4143195467177,67.4785488115256,56.4786420502168,63.10638692898,62.5568471379815,25.7356012891095,58.7556019081065,33.1483254655082,78.1975443861183,55.1088365314532
"SCN5A",1.29607151605871,9.13348531940263,10.8466075003308,10.8836369050848,6.12419010183074,9.16060455420677,7.35962907505665,4.02118770142336,16.1289887590881,15.1535202128038,7.1088676714653,9.5373302822524
"KCNA4",0,1.01483170215585,0,0,0,0,0.919953634382081,0,0,0,0,0.112759078017316
"CACNA1C",38.8821454817613,40.5932680862339,34.5119329555981,15.2370916671187,35.3842094772443,56.9993172261754,35.8781917409012,75.5983287867592,170.506452596074,30.3070404256075,45.6998636022769,52.0134801686767
"SLC8A1",53.1389321584071,41.6080997883898,47.3306509105345,38.0927291677967,43.5497962796853,49.8744025729035,92.9153170725902,42.6245896350876,58.7556019081065,67.2437459443167,67.0264666166728,51.8467139274237
"ATP1A1",108.870007348932,86.2606946832471,139.033787049695,77.2738220261019,74.170746788839,65.1420768299148,51.5174035253965,52.2754401185037,77.1887319184928,100.392071409825,107.648567596475,92.8867228501691
"ATP2B4",51.8428606423484,40.5932680862339,52.2609270470485,48.9763660728815,40.8279340122049,46.8208677215013,37.7180990096653,57.9051029004964,48.3869662772642,50.1960357049125,68.0420191411679,49.7719160783959
"ATP2A2",94.6132206722858,80.171704470312,81.8425838661326,103.394550598305,103.430766164253,89.5703556411328,53.3573107941607,43.4288271753723,130.183980698354,47.3547506650118,137.099590806831,96.4068337314019
"CALM1",31.105716385409,13.192812128026,25.6374359098728,22.855637500678,20.4139670061025,28.4996586130877,21.1589335907879,13.6720381848394,24.1934831386321,39.7779905586099,40.6221009798017,27.3665335800244
"RYR2",172.377511635808,143.091270003975,198.197100687863,164.34291726678,117.040077501654,138.426913263569,76.3561516537127,85.2491792701753,158.985746339582,109.863021542827,166.550614017187,152.097241362138
"CAMK2D",22.0332157729981,15.2224755323377,14.790828409542,20.6789101196611,10.8874490699213,8.14275960373935,7.35962907505665,5.62966278199271,10.3686356308423,12.3122351729031,17.2643929164157,14.633433580929
